Source,Target,Type,Weight
A2478,A5349,Undirected,1
A3776,A4949,Undirected,1
A2704,A5418,Undirected,1
A1851,A5418,Undirected,1
A577,A5032,Undirected,1
A3932,A4891,Undirected,1
A890,A5241,Undirected,1
A3002,A3004,Undirected,1
A2235,A4146,Undirected,1
A3004,A4056,Undirected,1
A2908,A5420,Undirected,1
A2917,A4687,Undirected,1
A1236,A4054,Undirected,1
A1639,A4531,Undirected,1
A2132,A4719,Undirected,1
A1977,A4058,Undirected,1
A76,A5144,Undirected,1
A2388,A5280,Undirected,2
A1390,A2132,Undirected,1
A1326,A1657,Undirected,2
A3004,A4570,Undirected,1
A255,A5246,Undirected,1
A4108,A4138,Undirected,1
A297,A3571,Undirected,1
A3004,A3917,Undirected,1
A1615,A3004,Undirected,3
A415,A1515,Undirected,1
A4065,A4239,Undirected,1
A3046,A3102,Undirected,1
A569,A3004,Undirected,1
A971,A1815,Undirected,1
A1630,A4797,Undirected,1
A275,A2660,Undirected,1
A3646,A4108,Undirected,1
A1510,A3932,Undirected,1
A81,A4593,Undirected,1
A1897,A4687,Undirected,1
A1510,A2114,Undirected,1
A1067,A4409,Undirected,1
A988,A3872,Undirected,1
A3932,A4423,Undirected,1
A630,A737,Undirected,1
A947,A1390,Undirected,1
A2087,A4976,Undirected,1
A1662,A2009,Undirected,1
A1599,A2012,Undirected,1
A1510,A5418,Undirected,5
A848,A3163,Undirected,1
A3004,A3977,Undirected,2
A2830,A3962,Undirected,1
A1921,A3004,Undirected,1
A1325,A2304,Undirected,1
A361,A3004,Undirected,1
A2252,A2315,Undirected,1
A2158,A4705,Undirected,1
A3004,A5345,Undirected,1
A988,A1962,Undirected,1
A1467,A4490,Undirected,1
A3934,A4978,Undirected,1
A4697,A5382,Undirected,1
A248,A1727,Undirected,1
A1714,A3550,Undirected,1
A297,A1515,Undirected,1
A2427,A5382,Undirected,2
A3131,A5284,Undirected,1
A297,A5235,Undirected,1
A3025,A3206,Undirected,1
A1725,A5416,Undirected,1
A385,A2387,Undirected,1
A2252,A2530,Undirected,1
A567,A3004,Undirected,1
A2427,A3666,Undirected,1
A1998,A3467,Undirected,1
A1422,A5267,Undirected,1
A896,A5246,Undirected,1
A2718,A2805,Undirected,1
A2614,A3004,Undirected,1
A481,A2427,Undirected,1
A3050,A3213,Undirected,1
A1312,A5067,Undirected,1
A2430,A2789,Undirected,1
A2856,A3861,Undirected,1
A82,A2478,Undirected,1
A2992,A4510,Undirected,1
A1467,A3197,Undirected,2
A1815,A2977,Undirected,1
A811,A4653,Undirected,1
A2694,A3004,Undirected,1
A908,A2014,Undirected,2
A255,A4527,Undirected,1
A2427,A3526,Undirected,1
A526,A4235,Undirected,1
A3701,A4235,Undirected,1
A3554,A4993,Undirected,1
A1312,A1890,Undirected,1
A1726,A1833,Undirected,1
A438,A4291,Undirected,1
A461,A5223,Undirected,1
A438,A1897,Undirected,1
A702,A3554,Undirected,1
A4664,A5463,Undirected,1
A2891,A4929,Undirected,1
A3206,A5144,Undirected,1
A1724,A3744,Undirected,1
A1897,A3868,Undirected,1
A811,A2904,Undirected,1
A5144,A5418,Undirected,3
A1599,A3352,Undirected,1
A2271,A3168,Undirected,1
A2603,A3793,Undirected,1
A1601,A4479,Undirected,1
A1749,A3464,Undirected,1
A1724,A5401,Undirected,1
A1368,A3554,Undirected,2
A3004,A3751,Undirected,1
A1515,A1725,Undirected,3
A1042,A3644,Undirected,1
A1510,A1978,Undirected,1
A36,A1948,Undirected,1
A1205,A3297,Undirected,1
A3932,A4517,Undirected,1
A1622,A3201,Undirected,1
A726,A4409,Undirected,1
A1435,A1784,Undirected,1
A3868,A4382,Undirected,1
A2970,A5401,Undirected,1
A5246,A5412,Undirected,1
A2427,A4953,Undirected,1
A1280,A2210,Undirected,1
A1618,A3168,Undirected,1
A4337,A5418,Undirected,6
A4276,A5295,Undirected,1
A1491,A2427,Undirected,1
A232,A5303,Undirected,1
A1618,A2228,Undirected,1
A248,A2091,Undirected,1
A1326,A1510,Undirected,1
A2427,A4506,Undirected,1
A1749,A3658,Undirected,1
A1275,A3541,Undirected,1
A2074,A4110,Undirected,1
