Id,Label
castaway_ref,std_name
1497,jung chang
2861,victoria wood
1502,karren brady
1381,john humphrys
2507,simon rattle
2368,rory stewart
1558,lady natasha spender
278,beryl bainbridge
1993,oleg gordievsky
1777,martin evans
591,david dimbleby
1836,michael ball
1627,liz smith
2741,tariq ali
2680,stanley mcmurtry
2082,penelope wilton
144,annie lennox
681,diane abbott
1125,howard goodall
1677,lord woolf
293,bill bailey
1142,humphrey lyttelton
2095,peter carey
178,ara darzi
2145,posy simmonds
879,felicity lott
1417,john stefanidis
2284,richard ingrams
10,ac grayling
2448,ruthie henshall
1890,miriam margolyes
614,david mcvicar
2464,sanjeev bhaskar
2222,randy newman
1145,ian bostridge
2480,shami chakrabarti
590,david davis
1267,janet street porter
1847,michael eavis
1724,marcus du sautoy
1845,michael deeley
87,allan ahlberg
1249,james nesbitt
226,baroness haleh afshar
2506,simon murray
2445,ruth padel
2867,vincent cable mp
50,alan sillitoe
2772,thomas quasthoff
629,david suchet
2166,professor dame kay davies
633,david walliams
1664,lord rix
2289,richard madeley
209,baaba maal
202,athene donald
2477,sebastian faulks
2901,whoopi goldberg
2116,peter sallis
239,barry humphries
396,caroline countess of cranbrook
2140,piers morgan
1650,lord healey
1781,martin shaw
182,arlene phillips
1083,harvey goldsmith
2149,prof hugh pennington
615,david mitchell
1132,hugh fearnley whittingstall
1945,nicky haslam
1324,joan bakewell
2334,roberto alagna
241,barry manilow
535,dame ellen macarthur
2699,steve coogan
1257,jan pienkowski
2162,professor colin pillinger
1300,jerry springer
157,anthony julius
1468,julia donaldson
1910,morrissey
230,baroness scotland
1639,lord coe
2608,sir michael caine
