Source,Target,Type,Weight
592,592,Undirected,28
2921,2921,Undirected,28
494,494,Undirected,15
2056,2056,Undirected,10
1458,1458,Undirected,28
209,209,Undirected,28
2934,2934,Undirected,28
1704,1704,Undirected,28
2331,2331,Undirected,15
101,101,Undirected,28
2286,2286,Undirected,28
1877,1877,Undirected,28
120,120,Undirected,28
514,514,Undirected,28
2874,2874,Undirected,28
1211,1211,Undirected,21
384,384,Undirected,28
304,304,Undirected,21
2611,2611,Undirected,28
684,684,Undirected,28
2547,2547,Undirected,28
2595,2595,Undirected,28
2048,2048,Undirected,28
2682,2682,Undirected,28
2300,2300,Undirected,21
1751,1751,Undirected,28
1224,1224,Undirected,28
1978,1978,Undirected,28
881,881,Undirected,28
394,394,Undirected,28
672,672,Undirected,28
45,45,Undirected,28
55,55,Undirected,28
2233,2233,Undirected,28
869,869,Undirected,28
2210,2210,Undirected,28
1610,1610,Undirected,28
1078,1078,Undirected,28
1593,1593,Undirected,28
2708,2708,Undirected,28
2367,2367,Undirected,28
1392,1392,Undirected,28
1345,1345,Undirected,28
2518,2518,Undirected,28
1769,1769,Undirected,28
144,144,Undirected,21
2421,2421,Undirected,28
615,615,Undirected,21
1103,1103,Undirected,21
2044,2044,Undirected,28
2781,2781,Undirected,28
699,699,Undirected,28
321,321,Undirected,28
1945,1945,Undirected,28
80,80,Undirected,28
1670,1670,Undirected,28
2189,2189,Undirected,28
511,511,Undirected,28
182,182,Undirected,28
2240,2240,Undirected,28
1635,1635,Undirected,28
121,121,Undirected,28
874,874,Undirected,28
2710,2710,Undirected,28
1256,1256,Undirected,28
84,84,Undirected,28
682,682,Undirected,28
452,452,Undirected,28
2713,2713,Undirected,21
1671,1671,Undirected,28
2499,2499,Undirected,28
483,483,Undirected,28
422,422,Undirected,28
1449,1449,Undirected,28
2913,2913,Undirected,28
1034,1034,Undirected,28
2231,2231,Undirected,28
2362,2362,Undirected,28
1962,1962,Undirected,15
2149,2149,Undirected,28
2047,2047,Undirected,28
2529,2529,Undirected,28
372,372,Undirected,120
2564,2564,Undirected,28
1613,1613,Undirected,28
1296,1296,Undirected,28
278,278,Undirected,28
1516,1516,Undirected,28
2927,2927,Undirected,28
488,488,Undirected,21
2481,2481,Undirected,105
58,58,Undirected,21
29,29,Undirected,28
862,862,Undirected,28
1307,1307,Undirected,28
910,910,Undirected,28
2555,2555,Undirected,28
870,870,Undirected,28
2368,2368,Undirected,28
569,569,Undirected,28
567,567,Undirected,28
2553,2553,Undirected,28
1035,1035,Undirected,10
1810,1810,Undirected,10
815,815,Undirected,28
236,236,Undirected,28
591,591,Undirected,28
1324,1324,Undirected,28
1248,1248,Undirected,28
965,965,Undirected,28
835,835,Undirected,28
782,782,Undirected,28
2838,2838,Undirected,28
664,664,Undirected,28
331,331,Undirected,21
464,464,Undirected,28
1343,1343,Undirected,28
2930,2930,Undirected,21
2354,2354,Undirected,28
230,230,Undirected,21
756,756,Undirected,28
1428,1428,Undirected,28
798,798,Undirected,28
1988,1988,Undirected,28
2386,2386,Undirected,28
649,649,Undirected,28
31,31,Undirected,28
1046,1046,Undirected,28
