Id,Label,std_artist
60-509,60-509-carmen dragon,claude debussy
60-510,60-510-carmen dragon,ludwig van beethoven
60-511,60-511-michael wilding,bobby howes
60-512,60-512-michael wilding,frank sinatra
60-513,60-513-michael wilding,louis levy his orchestra
60-514,60-514-michael wilding,giacomo puccini
60-515,60-515-michael wilding,richard wagner
60-516,60-516-michael wilding,judy garland
60-517,60-517-michael wilding,bing crosby
60-518,60-518-michael wilding,lena horne
60-519,60-519-kenneth mckellar,jimmy shand
60-520,60-520-kenneth mckellar,johann sebastian bach
60-521,60-521-kenneth mckellar,giacomo puccini
60-522,60-522-kenneth mckellar,ralph vaughan williams
60-523,60-523-kenneth mckellar,franz lehar
60-524,60-524-kenneth mckellar,mattiwilda dobbs gerald moore
60-525,60-525-kenneth mckellar,rino salviati
60-526,60-526-kenneth mckellar,kenneth mckellar
60-527,60-527-peter scott,ludwig van beethoven
60-528,60-528-peter scott,johannes brahms
60-529,60-529-peter scott,giuseppe verdi
60-530,60-530-peter scott,jean sibelius
60-531,60-531-peter scott,fijian girls
60-532,60-532-peter scott,franz schubert
60-533,60-533-peter scott,gustav mahler
60-534,60-534-peter scott,richard strauss
60-535,60-535-barbara jefford,aram khachaturian
60-536,60-536-barbara jefford,giuseppe verdi
60-537,60-537-barbara jefford,george shearing
60-538,60-538-barbara jefford,sergei prokofiev
60-539,60-539-barbara jefford,tomaso albinoni remo giazotto
60-540,60-540-barbara jefford,shelley berman
60-541,60-541-barbara jefford,enrique granados
60-542,60-542-barbara jefford,wolfgang amadeus mozart
60-543,60-543-brian reece,cicely courtneidge
60-544,60-544-brian reece,pietro mascagni
60-545,60-545-brian reece,lizbeth webb
60-546,60-546-brian reece,julie wilson
60-547,60-547-brian reece,frank sinatra
60-548,60-548-brian reece,giacomo puccini
60-549,60-549-brian reece,spike jones and his city slickers
60-550,60-550-brian reece,the bach choir
60-551,60-551-adam faith,pyotr ilyich tchaikovsky
60-552,60-552-adam faith,sammy davis jr
60-553,60-553-adam faith,lonnie donegan
60-554,60-554-adam faith,adam faith
60-555,60-555-adam faith,antonin dvorak
60-556,60-556-adam faith,ray charles
60-557,60-557-adam faith,johnny mathis
60-558,60-558-adam faith,jean sibelius
60-559,60-559-finlay currie,janet howe
60-560,60-560-finlay currie,cesar franck
60-561,60-561-finlay currie,george frideric handel
60-562,60-562-finlay currie,peter dawson
60-563,60-563-finlay currie,johannes brahms
60-564,60-564-finlay currie,jimmy shand
60-565,60-565-finlay currie,antonin dvorak
60-566,60-566-finlay currie,edward elgar
60-567,60-567-ralph reader,ethel merman
60-568,60-568-ralph reader,eileen donaghy
60-569,60-569-ralph reader,norrie paramor his orchestra
60-570,60-570-ralph reader,the gang
60-571,60-571-ralph reader,hm raf band
60-572,60-572-ralph reader,shirley jones
60-573,60-573-ralph reader,peter sellers
60-574,60-574-ralph reader,george frideric handel
60-575,60-575-pietro annigoni,ludwig van beethoven
60-576,60-576-pietro annigoni,arcangelo corelli
60-577,60-577-pietro annigoni,wolfgang amadeus mozart
60-578,60-578-pietro annigoni,tomaso antonio vitali
60-579,60-579-pietro annigoni,giuseppe verdi
60-580,60-580-pietro annigoni,yves montand
60-581,60-581-pietro annigoni,ludwig van beethoven
60-582,60-582-pietro annigoni,odoardo spadaro
60-583,60-583-kenneth williams,gerard souzay
60-584,60-584-kenneth williams,ludwig van beethoven
60-585,60-585-kenneth williams,dieterich buxtehude
60-586,60-586-kenneth williams,kenneth mckellar
60-587,60-587-kenneth williams,johann sebastian bach
60-588,60-588-kenneth williams,robert schumann
60-589,60-589-kenneth williams,johannes brahms
60-590,60-590-kenneth williams,vanessa lee
60-591,60-591-kingsley amis,troise and his mandoliers
60-592,60-592-kingsley amis,bud freeman and his famous chicagoans
60-593,60-593-kingsley amis,philharmonia orchestra
60-594,60-594-kingsley amis,carlos ramos
60-595,60-595-kingsley amis,karin juel
60-596,60-596-kingsley amis,the modern jazz quartet
60-597,60-597-kingsley amis,connie francis
60-598,60-598-kingsley amis,wolfgang amadeus mozart
60-599,60-599-julian bream,franz schubert
60-600,60-600-julian bream,henry purcell
60-601,60-601-julian bream,andres segovia
60-602,60-602-julian bream,stephane grappelli
60-603,60-603-julian bream,julian bream
60-604,60-604-julian bream,heitor villa lobos
60-605,60-605-julian bream,johann sebastian bach
60-606,60-606-julian bream,wolfgang amadeus mozart
60-607,60-607-richard murdoch,julie london
60-608,60-608-richard murdoch,dave barbour and his orchestra
60-609,60-609-richard murdoch,franz liszt
60-610,60-610-richard murdoch,frank sinatra
60-611,60-611-richard murdoch,robert schumann
60-612,60-612-richard murdoch,peggy lee
60-613,60-613-richard murdoch,count basie
60-614,60-614-richard murdoch,richard strauss
60-615,60-615-dr w grey walter,arda mandikian
60-616,60-616-dr w grey walter,wingy manone s dixieland band
60-617,60-617-dr w grey walter,ludwig van beethoven
60-618,60-618-dr w grey walter,dave brubeck
60-619,60-619-dr w grey walter,arnold schoenberg
60-620,60-620-dr w grey walter,ernst krenek
60-621,60-621-dr w grey walter,dag wiren
60-622,60-622-ann haydon,ray conniff
60-623,60-623-ann haydon,frank sinatra
60-624,60-624-ann haydon,tino rossi
