Source,Target,Type,Weight
40-488,50-1059,Undirected,1
40-314,10-609,Undirected,1
50-1261,10-273,Undirected,1
40-437,50-1036,Undirected,1
50-3177,10-2210,Undirected,1
40-79,10-2960,Undirected,1
50-2645,50-2811,Undirected,1
40-330,50-1849,Undirected,1
40-203,50-1199,Undirected,1
50-452,50-578,Undirected,1
50-989,10-276,Undirected,1
50-672,10-1490,Undirected,1
40-62,50-1646,Undirected,1
40-167,50-625,Undirected,1
40-400,50-2340,Undirected,1
50-2991,10-936,Undirected,1
50-929,10-1067,Undirected,1
50-636,50-2172,Undirected,1
50-1287,50-2122,Undirected,1
40-420,10-120,Undirected,1
50-392,10-304,Undirected,1
10-273,10-914,Undirected,1
10-1451,20-93,Undirected,1
50-146,50-3141,Undirected,1
40-249,50-410,Undirected,1
50-197,10-2117,Undirected,1
50-714,50-2163,Undirected,1
50-577,50-1217,Undirected,1
50-1991,50-2918,Undirected,1
50-2572,50-3179,Undirected,1
50-2984,20-406,Undirected,1
50-1059,50-1273,Undirected,1
10-12,10-2546,Undirected,1
50-154,10-2761,Undirected,1
50-2205,50-2624,Undirected,1
50-2379,10-285,Undirected,1
40-229,50-553,Undirected,1
50-416,10-594,Undirected,1
10-475,10-1393,Undirected,1
50-2380,50-2722,Undirected,1
10-2112,10-2874,Undirected,1
50-1503,50-2764,Undirected,1
40-326,10-1504,Undirected,1
50-2172,10-2044,Undirected,1
40-189,50-815,Undirected,1
10-1259,10-1720,Undirected,1
50-2260,50-2924,Undirected,1
50-999,50-2876,Undirected,1
10-2592,10-2628,Undirected,1
50-1931,10-956,Undirected,1
10-1975,10-2712,Undirected,1
50-1966,10-114,Undirected,1
50-2352,10-704,Undirected,1
10-514,10-1306,Undirected,1
50-2143,50-2596,Undirected,1
50-146,50-1628,Undirected,1
40-409,10-2676,Undirected,1
10-1826,20-343,Undirected,1
50-442,10-1424,Undirected,1
50-2925,10-389,Undirected,1
50-262,20-5,Undirected,1
50-2761,50-3145,Undirected,1
50-2801,10-207,Undirected,1
50-826,50-2926,Undirected,1
50-1946,10-482,Undirected,1
50-2039,50-2457,Undirected,1
40-134,50-1096,Undirected,1
40-391,50-972,Undirected,1
50-1149,50-2115,Undirected,1
40-238,50-3108,Undirected,1
50-2039,10-2712,Undirected,1
50-510,20-353,Undirected,1
10-926,10-2711,Undirected,1
50-2302,10-243,Undirected,1
50-28,10-121,Undirected,1
50-994,50-2857,Undirected,1
40-34,50-169,Undirected,1
50-592,50-1645,Undirected,1
50-83,50-1954,Undirected,1
50-1321,50-1640,Undirected,1
50-576,50-1774,Undirected,1
40-215,50-1154,Undirected,1
50-823,10-1803,Undirected,1
50-2483,50-2999,Undirected,1
50-455,10-2074,Undirected,1
50-943,10-1722,Undirected,1
40-314,50-173,Undirected,1
40-492,10-2085,Undirected,1
40-196,50-922,Undirected,1
50-3053,10-1224,Undirected,1
50-2304,10-860,Undirected,1
50-2506,10-642,Undirected,1
50-143,50-1304,Undirected,1
50-1235,10-704,Undirected,1
50-3185,10-132,Undirected,1
10-1005,10-1649,Undirected,1
50-1516,10-642,Undirected,1
10-273,10-2389,Undirected,1
10-806,10-1173,Undirected,1
40-441,50-1847,Undirected,1
10-2233,20-60,Undirected,1
50-710,50-3018,Undirected,1
40-374,50-1909,Undirected,1
50-586,10-180,Undirected,1
50-66,50-1695,Undirected,1
50-2516,10-1190,Undirected,1
40-15,50-2452,Undirected,1
40-148,50-2281,Undirected,1
50-1910,10-1154,Undirected,1
50-2389,10-15,Undirected,1
50-3181,20-255,Undirected,1
50-2919,20-43,Undirected,1
10-917,10-2915,Undirected,1
40-527,50-2530,Undirected,1
50-797,50-1409,Undirected,1
50-2627,10-1364,Undirected,1
40-299,10-177,Undirected,1
50-455,50-2255,Undirected,1
40-513,10-2688,Undirected,1
40-58,50-276,Undirected,1
50-2587,10-2332,Undirected,1
10-1500,10-2584,Undirected,1
50-2005,10-3036,Undirected,1
50-1154,50-2337,Undirected,1
50-171,50-1520,Undirected,1
50-1093,10-1014,Undirected,1
50-1907,10-2828,Undirected,1
10-1602,10-1709,Undirected,1
50-510,10-2801,Undirected,1
50-578,50-588,Undirected,1
50-589,50-1677,Undirected,1
50-3053,20-313,Undirected,1
50-1327,10-2533,Undirected,1
10-2927,20-215,Undirected,1
40-15,40-173,Undirected,1
40-518,50-1377,Undirected,1
50-1252,10-753,Undirected,1
50-1243,10-156,Undirected,1
50-2472,10-869,Undirected,1
50-689,50-1417,Undirected,1
50-1261,10-877,Undirected,1
50-416,50-1916,Undirected,1
10-1179,10-2356,Undirected,1
10-1023,10-1423,Undirected,1
10-1009,10-2409,Undirected,1
